S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
8,UMESH PRASAD YADAV,Peoples Party of India (Democratic),5105,21,5126,0.48
9,DEEPAK KUMAR,Socialist Unity Centre Of India (COMMUNIST),3758,5,3763,0.35
10,MUKESH KUMAR,Akhil Bhartiya Parivar Party,3670,11,3681,0.35
11,DAYARAM MANDAL,Lok Sewa Dal,3509,10,3519,0.33
12,OM PRAKASH PODDAR,Independent,3091,13,3104,0.29
13,NOTA,None of the Above,31771,32,31803,2.99
1,GIRIDHARI YADAV,Janata Dal (United),505674,1004,506678,49.96
2,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,401567,1267,402834,39.72
3,NARESH YADAV,Independent,14936,3,14939,1.47
4,JAY PRAKASH YADAV,Rashtriya Jansambhavna Party,12254,23,12277,1.21
5,AMRIT TANTI,Bhartiya Dalit Party,9615,55,9670,0.95
6,NARESH KUMAR PRIYADARSHI,Independent,8103,22,8125,0.8
7,GANESH KUMAR KUSHAWAHA,Samata Party,7627,18,7645,0.75
8,UTTAM KUMAR SINGH,Aam Janta Party Rashtriya,6874,37,6911,0.68
9,KAVINDRA PANDIT,Socialist Unity Centre Of India (COMMUNIST),5226,20,5246,0.52
10,UMAKANT YADAV,Independent,4932,9,4941,0.49
11,NOTA,None of the Above,34808,81,34889,3.44
1,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),547814,2332,550146,48.3
2,KUMARI ANITA,Rashtriya Janata Dal,467412,1864,469276,41.2
3,SHANKAR PRASAD BIND,Independent,21016,7,21023,1.85
4,PRIYADARSHI PIYUSH,Independent,15718,13,15731,1.38
5,A. K. SINGH ‘ASHOK’,Independent,13809,16,13825,1.21
6,KUMAR NAVNEET HIMANSHU,Bahujan Samaj Party,12143,137,12280,1.08
7,KULDIP YADAV,Hindustan People's Party (Democratic),9455,31,9486,0.83
8,NEETISH KUMAR,Independent,7470,37,7507,0.66
9,PRAVAL KUMAR,Independent,5366,9,5375,0.47
10,RAVINDRA MANDAL,Socialist Unity Centre Of India (COMMUNIST),4893,20,4913,0.43
11,ADITYA SINGH MADHUKAR,Independent,4124,16,4140,0.36
12,PANKAJ KUMAR,Independent,3410,18,3428,0.3
13,NOTA,None of the Above,21920,31,21951,1.93
1,KAUSHALENDRA KUMAR,Janata Dal (United),557054,2368,559422,48.88
2,DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),388052,2256,390308,34.11
3,SUDHIR KUMAR,Sanyukt Kisan Vikas Party,25286,5,25291,2.21
4,SURENDRA PRASAD,Al-Hind Party,18571,5,18576,1.62
5,SHASHI KUMAR,Samaj Shakti Party,18472,8,18480,1.61
6,PRAMOD KUMAR NIRALA,Bahujan Samaj Party,15233,99,15332,1.34
7,AJEET KUMAR,Independent,14746,4,14750,1.29
8,VINAY PRATAP SINGH,Rashtriya Sanatan Party,9593,9,9602,0.84
9,SANJAY RAJESH,Karpoori Janta Dal,7878,9,7887,0.69
10,SUDHIR DAS,Independent,6804,2,6806,0.59
11,KANHAIYA LAL YADAV,Jagrook Janta Party,6665,27,6692,0.58
12,SANYUKTA KUMARI,Independent,6232,6,6238,0.55
13,AJIT KUMAR,Independent,5515,5,5520,0.48
14,SHYAM SUNDAR PRASAD,Independent,3922,10,3932,0.34
15,RAMESH KUMAR,Naki Bharatiya Ekta Party,3840,5,3845,0.34
16,KISLAY KUMAR,Independent,3599,3,3602,0.31
17,KESHO JAMADAR,Peoples Party of India (Democratic),3369,18,3387,0.3
18,SURENDER SINGH,Independent,3341,4,3345,0.29
19,DILIP KUMAR,Moolniwasi Samaj Party,2724,5,2729,0.24
20,NAND KISHOR PARASAD,Pragatisheel Magahi Samaj,2456,12,2468,0.22
21,NISHA RANJAN,Samata Party,2397,18,2415,0.21
22,SHASHIRANJAN SUMAN,Independent,2331,9,2340,0.2
23,GHANSHYAM PRASAD SINGH,Independent,2108,2,2110,0.18
24,KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,1971,9,1980,0.17
25,MUNNA KUMAR,Sankhyanupati Bhagidari Party,1937,12,1949,0.17
26,MUNNA KUMAR,Samajwadi Lok Parishad,1867,13,1880,0.16
27,PAWAN KUMAR,Independent,1595,2,1597,0.14
28,PUJA DEVI,Independent,1491,14,1505,0.13
29,CHANDRA KISHOR PRASAD YADAV,Independent,1177,1,1178,0.1
30,NOTA,None of the Above,19110,107,19217,1.68
1,RADHA MOHAN SINGH,Bharatiya Janata Party,540598,1595,542193,50.5
2,DR RAJESH KUMAR,Vikassheel Insaan Party,451118,2788,453906,42.28
3,MOHAMMAD AJMER ALAM,Independent,13030,17,13047,1.22
4,VIJAY KUMAR SAHANI,Rashtriya Jansambhavna Party,8158,27,8185,0.76
5,RAJESH SINGH,Independent,7176,6,7182,0.67
6,GYANTI DEVI,Prabuddha Republican Party,6963,45,7008,0.65
7,PAWAN KUMAR,Bhartiya Sarthak Party,4895,19,4914,0.46
8,MUNESHWAR TIWARI,Independent,4017,5,4022,0.37
9,RAJESH KUMAR S/O GAGANLAL SAHNI,Independent,3930,4,3934,0.37
10,RAJESH KUMAR S/O VISHUN SAH,Independent,3489,3,3492,0.33
11,NAWAL KISHOR PRASAD,Viro Ke Vir Indian Party,3449,15,3464,0.32
12,NIKESH KUMAR,Independent,2539,14,2553,0.24
13,NOTA,None of the Above,19729,59,19788,1.84
1,RAVI SHANKAR PRASAD,Bharatiya Janata Party,587212,1058,588270,54.7
2,ANSHUL AVIJIT,Indian National Congress,433818,606,434424,40.39
3,RAKESH SHARMA,Independent,9942,1,9943,0.92
4,NEERAJ KUMAR,Bahujan Samaj Party,5912,16,5928,0.55
5,AWADHESH PRASAD,Independent,4973,1,4974,0.46
6,ENG UMESH RAJAK,Peoples Party of India (Democratic),4664,8,4672,0.43
7,SANJAY KUMAR URF SANJAY BALMIKI,Independent,4643,0,4643,0.43
8,DHARMVIR KUMAR BHASKAR,Independent,2415,1,2416,0.22
9,AMIT KUMAR ALBELA,Independent,2050,3,2053,0.19
10,MAHESH KUMAR,Samata Party,2003,0,2003,0.19
11,DHANJAY KUMAR,Rashtriya Jansambhavna Party,1969,2,1971,0.18
12,GULAB PRASAD,Loktantrik Samajwadi Party,1923,2,1925,0.18
13,SUMIT RANJAN SINHA,Akhand Bharat Janpriya Party,1715,1,1716,0.16
14,MAHBOOB ALAM ANSARI,Bharatiya Momin Front,1635,3,1638,0.15
15,DR RAKESH DUTTA MISHRA,Bharatiya Jan Kranti Dal (Democratic),1238,2,1240,0.12
16,SAROJ KUMAR SUMAN,Socialist Unity Centre Of India (COMMUNIST),1078,0,1078,0.1
17,SHAHID ALAM,Jantantra Awaj Party,1040,3,1043,0.1
18,NOTA,None of the Above,5532,27,5559,0.52
