S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
23,YARRA DASARADHARAMAIAH,Independent,394,0,394,0.03
24,KOTA VAMSI KRISHNA,Independent,365,0,365,0.03
25,K PAVAN KALYAN,Jatiya Jana Sena Party,362,30,392,0.03
26,NOTA,None of the Above,13066,139,13205,0.93
1,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92
2,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,583155,6001,589156,41.95
3,J LAKSHMI NARASIMHA YADAV,Indian National Congress,54920,1284,56204,4.0
4,P GURUVAIAH,Independent,8190,1,8191,0.58
5,A CHINNA MOULALI,Bahujan Samaj Party,7768,63,7831,0.56
6,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6858,74,6932,0.49
7,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633,0,4633,0.33
8,GAGGERA VENKATA RAMANAIAH,Independent,3027,4,3031,0.22
9,DUMAVATH SWAMY NAIK,Independent,2348,10,2358,0.17
10,KUNUKUNTLA RAMUDU,Independent,1408,5,1413,0.1
11,E ANIL KUMAR,Independent,1332,2,1334,0.09
12,C SURENDRA NATHA REDDY,Independent,1267,1,1268,0.09
13,BRAHMANANDA REDDY K,Independent,1261,11,1272,0.09
14,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,785,6,791,0.06
15,NAGESWARA RAO,Independent,678,2,680,0.05
16,VIJAYA BHASKAR REDDYPOGU,Independent,641,0,641,0.05
17,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,638,4,642,0.05
18,BHUMA VEERA BHADRA REDDY,Navarang Congress Party,630,16,646,0.05
19,PANDU RANGA YADAV SIDDAPU,Samajwadi Party,594,11,605,0.04
20,CHANDINI REDDY VAKATI,Liberation Congress Party,546,10,556,0.04
21,B C RAMANADHA AREDDY,Independent,472,0,472,0.03
22,GAJULA SHALIMIYA,Anna YSR Congress Party,468,18,486,0.03
23,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,428,2,430,0.03
24,CH P MALLESWARUDU,Independent,417,4,421,0.03
25,I V PAKKIR REDDY,Independent,408,2,410,0.03
26,V MADHUSUDHANA REDDY,Independent,399,2,401,0.03
27,BUSHAKU MAHESWARA REDDY,Independent,390,0,390,0.03
28,U P MUNI REDDY,Independent,376,0,376,0.03
29,GOGULA SUGUNAMMA,Jai Maha Bharath Party,375,4,379,0.03
30,BELLAMKONDA SREENIVASULU,Independent,352,1,353,0.03
31,BALIJA SHIVA KUMAR,Independent,288,0,288,0.02
32,NOTA,None of the Above,10538,159,10697,0.76
1,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51
2,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801,3815,547616,41.15
3,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972,1401,70373,5.29
4,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533,56,8589,0.65
5,BOYA SURESH,Independent,5891,9,5900,0.44
6,T. BEECHUPALLI,Independent,5125,2,5127,0.39
7,VIJAYA BHASKAR .REDDYPOGU,Independent,3504,4,3508,0.26
8,PAGADALA KODANDA,Independent,3070,6,3076,0.23
9,DEVARAPOGU MADDILETY,Independent,2576,6,2582,0.19
10,PRAKASH REDDY RALAMPADU,Independent,2222,3,2225,0.17
11,JAHANGIR AHMED,Social Democratic Party Of India,2058,16,2074,0.16
12,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847,9,1856,0.14
13,ABDUL SATTAR A.S.R,Anna YSR Congress Party,1565,36,1601,0.12
14,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385,5,1390,0.1
15,URUKUNDU VADDE,Independent,1284,11,1295,0.1
16,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162,2,1164,0.09
17,SUNKARA SREEDHAR,Jai Bharat National Party,1149,14,1163,0.09
18,TARIGOPULA RAJABABU,All Peoples Party,1032,1,1033,0.08
19,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777,6,783,0.06
20,NOTA,None of the Above,10394,117,10511,0.79
1,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33
2,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24
3,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3.0
4,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45
5,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44
6,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4
7,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35
8,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2
9,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18
10,P.CHOWDESWARI,Independent,1514,4,1518,0.11
11,VADLA KESAVAIAH,Independent,1488,6,1494,0.1
12,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09
13,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08
14,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08
15,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06
16,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05
17,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05
18,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04
19,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04
20,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03
21,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03
22,NOTA,None of the Above,9014,185,9199,0.64
1,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,61.05
2,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394,6033,426427,34.51
3,PEDADA PARAMESWARA RAO,Indian National Congress,6724,448,7172,0.58
4,SANAPALA SRAVAN KUMAR,Independent,5950,8,5958,0.48
5,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661,81,4742,0.38
6,VABA YOGESWARA RAO,Independent,3472,126,3598,0.29
7,BETHA VIVEKANANDA MAHARAJ,Independent,2523,13,2536,0.21
8,YEDDU LAKSHMINARAYANA,Independent,1598,7,1605,0.13
9,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315,42,1357,0.11
10,IPPILI SEETHARAJU,Jai Bharat National Party,1080,50,1130,0.09
11,KAYA DURGARAO,Navarang Congress Party,811,7,818,0.07
12,CHELLURI DANIYAL,Independent,796,20,816,0.07
13,BOMMALI TIRUPATI RAO,Pyramid Party of India,589,5,594,0.05
14,NOTA,None of the Above,24498,107,24605,1.99
1,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23
2,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88
3,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89
4,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57
5,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38
6,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16
7,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14
8,S N SURESH,Independent,1611,20,1631,0.12
9,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09
10,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09
11,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09
12,S RAGHUNATHA REDDY,Independent,693,17,710,0.05
13,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05
14,NOTA,None of the Above,17826,145,17971,1.27
1,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78
2,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358,10090,542448,41.03
3,Y.S. SHARMILA REDDY,Indian National Congress,136395,4644,141039,10.67
4,PANDITI. GURAPPA.,Bahujan Samaj Party,3790,20,3810,0.29
5,VENU GOPAL RACHINENI,Rashtriya Praja Congress (Secular),3500,70,3570,0.27
6,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414,16,2430,0.18
7,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329,4,2333,0.18
8,L. KHAJA HUSSAIN,Independent,1087,1,1088,0.08
