S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
9,JHUNA MALIK,Manas Lokshakti Dal,2075,2,2077,0.18
10,ARTTATRANA MALIK,Independent,1234,18,1252,0.11
11,NARENDRA MALIKA,Independent,1119,0,1119,0.1
12,MANTU SETHI,Janta Darbar Party,954,2,956,0.08
13,BINOD KUMAR JENA,Gana Suraksha Party,876,3,879,0.08
14,NOTA,None of the Above,6738,50,6788,0.58
1,RUDRA NARAYAN PANY,Bharatiya Janata Party,593907,4814,598721,50.24
2,ABINASH SAMAL,Biju Janata Dal,520144,2010,522154,43.82
3,SASHMITA BEHERA,Indian National Congress,34052,678,34730,2.91
4,PRAFULLA KUMAR NAIK,Bahujan Samaj Party,4850,45,4895,0.41
5,MAHESWAR SAHOO,Independent,4614,15,4629,0.39
6,MANASI SWAIN,Socialist Unity Centre Of India (COMMUNIST),3376,8,3384,0.28
7,PRIYABRATA GARNAIK,Independent,2904,5,2909,0.24
8,JANARDAN NAIK,Independent,2647,6,2653,0.22
9,KAILAS CHANDRA PRADHAN,Independent,2205,8,2213,0.19
10,SWAPNA RANI JAMES,Utkal Samaj,1603,5,1608,0.13
11,NOTA,None of the Above,13731,46,13777,1.16
