S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
8,MOINUDDIN,Independent,1854,6,1860,0.12
9,BHANWAR KUMAR RAWAL,Independent,1102,29,1131,0.08
10,BALDEV SINGH FOJI,Bharatheeya Jawan Kisan Party,1066,3,1069,0.07
11,TARUN GOCHAR,Right to Recall Party,992,8,1000,0.07
12,KAILASHI ANIL JAIN,Independent,990,4,994,0.07
13,KAMAL KUMAR BAIRWA,Independent,965,49,1014,0.07
14,ABDUL ASIF,Independent,860,5,865,0.06
15,OM PRAKASH SHAKYAWAL,Independent,757,3,760,0.05
16,NOTA,None of the Above,10176,85,10261,0.68
1,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88
2,URMILA JAIN “BHAYA”,Indian National Congress,492342,2045,494387,34.78
3,CHANDRA SINGH KIRAD,Bahujan Samaj Party,12252,33,12285,0.86
4,RAVI RAJ SINGH,Independent,10231,43,10274,0.72
5,BHUVANESH KUMAR,Right to Recall Party,9324,21,9345,0.66
6,BABULAL,Independent,7668,24,7692,0.54
7,PANKAJ PAJANTORIVALA,Independent,5927,18,5945,0.42
8,NOTA,None of the Above,15958,69,16027,1.13
1,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12
2,DEVENDRA JHAJHARIA,Bharatiya Janata Party,647891,7583,655474,46.01
3,DEIRAM MEGHWAL,Bahujan Samaj Party,11145,126,11271,0.79
4,RAMESH KUMAR,Independent,5720,4,5724,0.4
5,GOMATI DHARAMPAL KATARIA,Bharat Rakshak Party (Democratic),4937,24,4961,0.35
6,SUKHDEV,Independent,4550,9,4559,0.32
7,RANVEER SINGH,Independent,1809,3,1812,0.13
8,BISAN SINGH,Independent,1571,73,1644,0.12
9,DAULAT RAM PENSIA,National Janmandal Party,1178,15,1193,0.08
10,YUSUF ALI KHAN,Independent,1176,54,1230,0.09
11,SHISHPAL SINGH RANA,Bheem Tribal Congress,671,4,675,0.05
12,NIRANJAN SINGH RATHORE,Independent,648,20,668,0.05
13,ASLAM LILGAR,Independent,558,9,567,0.04
14,NOTA,None of the Above,6583,73,6656,0.47
1,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44
2,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,523669,11264,534933,47.81
3,SHEKHAWAT RAJENDRA SINGH,Independent,7389,301,7690,0.69
4,BANSHIDHAR,Bahujan Samaj Party,6679,188,6867,0.61
5,DURGA PRASAD MEENA,Ambedkarite Party of India,5440,57,5497,0.49
6,ALTIF,Independent,2025,25,2050,0.18
7,SATYANARAYAN,Bheem Tribal Congress,1127,23,1150,0.1
8,HAZARI LAL,Bahujan Kranti Party (Marxwad-Ambedkarwad),922,18,940,0.08
9,NOTA,None of the Above,6454,178,6632,0.59
1,AMRARAM,Communist Party of India (Marxist),645559,13741,659300,50.68
2,SUMEDHANAND SARASWATI,Bharatiya Janata Party,574740,11664,586404,45.08
3,SURESH PAREEK,Independent,10014,7,10021,0.77
4,AMARCHAND,Bahujan Samaj Party,8293,326,8619,0.66
5,VISHNU KUMAR NATRAJ,Independent,5796,7,5803,0.45
6,RAVINDRA SINGH SHEKHAWAT,Independent,5775,250,6025,0.46
7,ASHOK SEHRA,Ambedkarite Party of India,5333,49,5382,0.41
8,DHIRENDRA VERMA,Ummeed Party of India,2885,59,2944,0.23
9,MAHESH KUMAR,Independent,1962,94,2056,0.16
10,BENI PRASAD KAUSHIK (LATA),Rashtriya Sawarn Dal,1720,11,1731,0.13
11,RAMESH SHARMA,Bhartiya Party,1516,33,1549,0.12
